ts,lat,lon,time
1772078927718,34.021841,-118.283132,2026-02-26 04:08:47.718
1772079173826,34.021657,-118.283054,2026-02-26 04:12:53.826
1772079357848,34.020623,-118.283149,2026-02-26 04:15:57.848
1772079539023,34.019056,-118.283165,2026-02-26 04:18:59.023
1772079718676,34.018033,-118.282649,2026-02-26 04:21:58.676
1772079910617,34.017595,-118.282146,2026-02-26 04:25:10.617
1772080090446,34.019208,-118.281677,2026-02-26 04:28:10.446
1772080114703,34.020839,-118.280636,2026-02-26 04:28:34.703
1772080143862,34.022471,-118.279587,2026-02-26 04:29:03.862
1772080212167,34.024079,-118.278553,2026-02-26 04:30:12.167
1772080232311,34.025702,-118.277556,2026-02-26 04:30:32.311
1772080253532,34.027319,-118.276533,2026-02-26 04:30:53.532
1772080370033,34.028923,-118.277653,2026-02-26 04:32:50.033
1772080386149,34.029811,-118.27964,2026-02-26 04:33:06.149
1772080402383,34.030703,-118.281583,2026-02-26 04:33:22.383
1772080430551,34.031592,-118.28355,2026-02-26 04:33:50.551
1772080447707,34.032216,-118.283944,2026-02-26 04:34:07.707
1772080466842,34.034044,-118.28397,2026-02-26 04:34:26.842
1772080514189,34.035849,-118.283973,2026-02-26 04:35:14.189
1772080540406,34.037709,-118.283962,2026-02-26 04:35:40.406
1772080627889,34.038191,-118.283811,2026-02-26 04:37:07.889
1772080940564,34.038219,-118.283818,2026-02-26 04:42:20.564
1772081120416,34.03821,-118.283857,2026-02-26 04:45:20.416
1772081300193,34.038205,-118.283846,2026-02-26 04:48:20.193
1772081539366,34.038214,-118.283851,2026-02-26 04:52:19.366
1772081719628,34.037826,-118.283458,2026-02-26 04:55:19.628
1772081801940,34.036064,-118.284057,2026-02-26 04:56:41.940
1772081840317,34.034211,-118.284048,2026-02-26 04:57:20.317
1772081856381,34.032341,-118.284012,2026-02-26 04:57:36.381
1772082066222,34.032178,-118.282853,2026-02-26 05:01:06.222
1772082246136,34.032247,-118.282823,2026-02-26 05:04:06.136
1772082285465,34.033913,-118.283916,2026-02-26 05:04:45.465
1772082327851,34.035788,-118.283939,2026-02-26 05:05:27.851
1772082407198,34.037228,-118.282483,2026-02-26 05:06:47.198
1772082422332,34.037712,-118.280312,2026-02-26 05:07:02.332
1772082426486,34.037754,-118.280005,2026-02-26 05:07:06.486
1772082442626,34.037951,-118.277829,2026-02-26 05:07:22.626
1772082454795,34.038051,-118.2756,2026-02-26 05:07:34.795
1772082465982,34.03799,-118.273215,2026-02-26 05:07:45.982
1772082474095,34.037182,-118.271223,2026-02-26 05:07:54.095
1772082482200,34.03589,-118.269322,2026-02-26 05:08:02.200
1772082489285,34.034753,-118.267484,2026-02-26 05:08:09.285
1772082498479,34.033651,-118.265543,2026-02-26 05:08:18.479
1772082506609,34.032522,-118.263597,2026-02-26 05:08:26.609
1772082513730,34.031622,-118.261532,2026-02-26 05:08:33.730
1772082520874,34.030954,-118.259367,2026-02-26 05:08:40.874
1772082527995,34.030152,-118.257312,2026-02-26 05:08:47.995
1772082535116,34.02913,-118.255309,2026-02-26 05:08:55.116
1772082542244,34.028122,-118.253443,2026-02-26 05:09:02.244
1772082548376,34.027134,-118.251624,2026-02-26 05:09:08.376
1772082556511,34.02603,-118.24958,2026-02-26 05:09:16.511
1772082564644,34.02491,-118.247522,2026-02-26 05:09:24.644
1772082571727,34.023992,-118.245553,2026-02-26 05:09:31.727
1772082578833,34.023636,-118.243395,2026-02-26 05:09:38.833
1772082587013,34.023906,-118.241137,2026-02-26 05:09:47.013
1772082595138,34.024679,-118.239111,2026-02-26 05:09:55.138
1772082604258,34.025525,-118.236998,2026-02-26 05:10:04.258
1772082606360,34.025707,-118.236536,2026-02-26 05:10:06.360
1772082614529,34.026585,-118.234389,2026-02-26 05:10:14.529
1772082622667,34.027402,-118.232397,2026-02-26 05:10:22.667
1772082630795,34.028212,-118.230114,2026-02-26 05:10:30.795
1772082637919,34.028678,-118.227978,2026-02-26 05:10:37.919
1772082646086,34.029054,-118.225756,2026-02-26 05:10:46.086
1772082654207,34.029386,-118.223527,2026-02-26 05:10:54.207
1772082662281,34.029286,-118.221176,2026-02-26 05:11:02.281
1772082669433,34.02911,-118.218728,2026-02-26 05:11:09.433
1772082677566,34.029048,-118.216332,2026-02-26 05:11:17.566
1772082685659,34.029101,-118.214141,2026-02-26 05:11:25.659
